EssentialC++中文版,https://img2.doubanio.com/view/subject/s/public/s28360653.jpg,66.1
设计模式:可复用面向对象软件的基础,https://img2.doubanio.com/view/subject/s/public/s1074361.jpg,27.2
Python深度学习,https://img1.doubanio.com/view/subject/s/public/s29839337.jpg,94.8
Python3网络爬虫开发实战第2版,https://img1.doubanio.com/view/subject/s/public/s34057567.jpg,93.7
代码整洁之道,https://img2.doubanio.com/view/subject/s/public/s4103991.jpg,46.5
Linux是怎样工作的,https://img1.doubanio.com/view/subject/s/public/s34133808.jpg,69.6
深入浅出Pandas:利用Python进行数据处理与分析,https://img9.doubanio.com/view/subject/s/public/s33944495.jpg,77.9
设计模式之美,https://img2.doubanio.com/view/subject/s/public/s34234771.jpg,83.6
编程珠玑（第2版•修订版）,https://img1.doubanio.com/view/subject/s/public/s27984539.jpg,26.1
编程珠玑（续）（修订版）,https://img9.doubanio.com/view/subject/s/public/s28355225.jpg,27.6
中台架构与实现:基于DDD和微服务,https://img9.doubanio.com/view/subject/s/public/s33746235.jpg,70.1
MySQL基础教程,https://img2.doubanio.com/view/subject/s/public/s33577441.jpg,102.7
互联网创业核心技术：构建可伸缩的web应用,https://img2.doubanio.com/view/subject/s/public/s29131113.jpg,79.5
x86汇编语言:从实模式到保护模式,https://img9.doubanio.com/view/subject/s/public/s25113825.jpg,55.8
SoftwareDesignforFlexibility:HowtoAvoidProgrammingYourselfintoaCorner,https://img1.doubanio.com/view/subject/s/public/s33773069.jpg,-1
Python编程快速上手（第2版）:让繁琐工作自动化,https://img9.doubanio.com/view/subject/s/public/s33845055.jpg,44.5
只是为了好玩:Linux之父林纳斯自传,https://img1.doubanio.com/view/subject/s/public/s27329267.jpg,39.6
特征工程入门与实践,https://img9.doubanio.com/view/subject/s/public/s32334214.jpg,-1
程序员的职业素养,https://img2.doubanio.com/view/subject/s/public/s11194203.jpg,41.0
精通正则表达式（第3版）,https://img3.doubanio.com/view/subject/s/public/s11292040.jpg,70.2
凤凰项目：一个IT运维的传奇故事（修订版）,https://img9.doubanio.com/view/subject/s/public/s33474255.jpg,57.7
自己动手写CPU,https://img2.doubanio.com/view/subject/s/public/s27408841.jpg,82.9
鸟哥的Linux私房菜基础学习篇第四版,https://img9.doubanio.com/view/subject/s/public/s29903894.jpg,54.3
"DeepLearningwithPython,SecondEdition",https://img3.doubanio.com/view/subject/s/public/s34033240.jpg,-1
TCP/IP网络编程,https://img9.doubanio.com/view/subject/s/public/s27309026.jpg,63.3
精益开发实战:用看板管理大型项目,https://img3.doubanio.com/view/subject/s/public/s11231840.jpg,30.7
Algorithms,https://img2.doubanio.com/view/subject/s/public/s33302903.jpg,-1
你不知道的JavaScript（上卷）,https://img2.doubanio.com/view/subject/s/public/s28033372.jpg,42.6
C语言修仙:下,https://img2.doubanio.com/view/subject/s/public/s33772711.jpg,25.8
Python3面向对象编程,https://img1.doubanio.com/view/subject/s/public/s28153549.jpg,62.3
深入理解计算机系统（原书第2版）,https://img9.doubanio.com/view/subject/s/public/s4510534.jpg,81.7
OnJava8,https://img2.doubanio.com/view/subject/s/public/s29763471.jpg,-1
